pctChg1,pctChg2,pctChg3,pctChg4,pctChg5,pctChg6,pctChg7,pctChg8,pctChg9,pctChg10,pctChg11,pctChg12,pctChg13,pctChg14,y
-4.933,5.283,3.983,-1.894,5.749,-1.47,-8.383,1.893,-0.64,-3.382,-3.554,-0.024,-1.125,1.951,0
5.283,3.983,-1.894,5.749,-1.47,-8.383,1.893,-0.64,-3.382,-3.554,-0.024,-1.125,1.951,-1.728,0
3.983,-1.894,5.749,-1.47,-8.383,1.893,-0.64,-3.382,-3.554,-0.024,-1.125,1.951,-1.728,0.749,1
-1.894,5.749,-1.47,-8.383,1.893,-0.64,-3.382,-3.554,-0.024,-1.125,1.951,-1.728,0.749,2.287,1
5.749,-1.47,-8.383,1.893,-0.64,-3.382,-3.554,-0.024,-1.125,1.951,-1.728,0.749,2.287,-0.049,0
-1.47,-8.383,1.893,-0.64,-3.382,-3.554,-0.024,-1.125,1.951,-1.728,0.749,2.287,-0.049,2.331,1
-8.383,1.893,-0.64,-3.382,-3.554,-0.024,-1.125,1.951,-1.728,0.749,2.287,-0.049,2.331,-1.141,0
1.893,-0.64,-3.382,-3.554,-0.024,-1.125,1.951,-1.728,0.749,2.287,-0.049,2.331,-1.141,-0.436,0
-0.64,-3.382,-3.554,-0.024,-1.125,1.951,-1.728,0.749,2.287,-0.049,2.331,-1.141,-0.436,-0.188,1
-3.382,-3.554,-0.024,-1.125,1.951,-1.728,0.749,2.287,-0.049,2.331,-1.141,-0.436,-0.188,4.938,0
-3.554,-0.024,-1.125,1.951,-1.728,0.749,2.287,-0.049,2.331,-1.141,-0.436,-0.188,4.938,-3.898,0
-0.024,-1.125,1.951,-1.728,0.749,2.287,-0.049,2.331,-1.141,-0.436,-0.188,4.938,-3.898,-0.975,0
-1.125,1.951,-1.728,0.749,2.287,-0.049,2.331,-1.141,-0.436,-0.188,4.938,-3.898,-0.975,-0.487,0
1.951,-1.728,0.749,2.287,-0.049,2.331,-1.141,-0.436,-0.188,4.938,-3.898,-0.975,-0.487,3.939,0
-1.728,0.749,2.287,-0.049,2.331,-1.141,-0.436,-0.188,4.938,-3.898,-0.975,-0.487,3.939,2.158,1
0.749,2.287,-0.049,2.331,-1.141,-0.436,-0.188,4.938,-3.898,-0.975,-0.487,3.939,2.158,-0.077,0
2.287,-0.049,2.331,-1.141,-0.436,-0.188,4.938,-3.898,-0.975,-0.487,3.939,2.158,-0.077,0.641,0
-0.049,2.331,-1.141,-0.436,-0.188,4.938,-3.898,-0.975,-0.487,3.939,2.158,-0.077,0.641,1.548,1
2.331,-1.141,-0.436,-0.188,4.938,-3.898,-0.975,-0.487,3.939,2.158,-0.077,0.641,1.548,-6.166,0
-1.141,-0.436,-0.188,4.938,-3.898,-0.975,-0.487,3.939,2.158,-0.077,0.641,1.548,-6.166,-1.11,1
-0.436,-0.188,4.938,-3.898,-0.975,-0.487,3.939,2.158,-0.077,0.641,1.548,-6.166,-1.11,-0.89,0
-0.188,4.938,-3.898,-0.975,-0.487,3.939,2.158,-0.077,0.641,1.548,-6.166,-1.11,-0.89,0.799,0
4.938,-3.898,-0.975,-0.487,3.939,2.158,-0.077,0.641,1.548,-6.166,-1.11,-0.89,0.799,-0.122,0
-3.898,-0.975,-0.487,3.939,2.158,-0.077,0.641,1.548,-6.166,-1.11,-0.89,0.799,-0.122,1.072,1
-0.975,-0.487,3.939,2.158,-0.077,0.641,1.548,-6.166,-1.11,-0.89,0.799,-0.122,1.072,1.605,0
-0.487,3.939,2.158,-0.077,0.641,1.548,-6.166,-1.11,-0.89,0.799,-0.122,1.072,1.605,5.794,0
3.939,2.158,-0.077,0.641,1.548,-6.166,-1.11,-0.89,0.799,-0.122,1.072,1.605,5.794,-1.53,0
2.158,-0.077,0.641,1.548,-6.166,-1.11,-0.89,0.799,-0.122,1.072,1.605,5.794,-1.53,1.899,1
-0.077,0.641,1.548,-6.166,-1.11,-0.89,0.799,-0.122,1.072,1.605,5.794,-1.53,1.899,3.14,1
0.641,1.548,-6.166,-1.11,-0.89,0.799,-0.122,1.072,1.605,5.794,-1.53,1.899,3.14,3.457,0
1.548,-6.166,-1.11,-0.89,0.799,-0.122,1.072,1.605,5.794,-1.53,1.899,3.14,3.457,-1.755,0
-6.166,-1.11,-0.89,0.799,-0.122,1.072,1.605,5.794,-1.53,1.899,3.14,3.457,-1.755,-1.213,1
-1.11,-0.89,0.799,-0.122,1.072,1.605,5.794,-1.53,1.899,3.14,3.457,-1.755,-1.213,-3.286,0
-0.89,0.799,-0.122,1.072,1.605,5.794,-1.53,1.899,3.14,3.457,-1.755,-1.213,-3.286,-1.119,0
0.799,-0.122,1.072,1.605,5.794,-1.53,1.899,3.14,3.457,-1.755,-1.213,-3.286,-1.119,-1.318,0
-0.122,1.072,1.605,5.794,-1.53,1.899,3.14,3.457,-1.755,-1.213,-3.286,-1.119,-1.318,-0.999,0
1.072,1.605,5.794,-1.53,1.899,3.14,3.457,-1.755,-1.213,-3.286,-1.119,-1.318,-0.999,0.503,0
1.605,5.794,-1.53,1.899,3.14,3.457,-1.755,-1.213,-3.286,-1.119,-1.318,-0.999,0.503,-1.199,1
5.794,-1.53,1.899,3.14,3.457,-1.755,-1.213,-3.286,-1.119,-1.318,-0.999,0.503,-1.199,0.259,1
-1.53,1.899,3.14,3.457,-1.755,-1.213,-3.286,-1.119,-1.318,-0.999,0.503,-1.199,0.259,2.282,1
1.899,3.14,3.457,-1.755,-1.213,-3.286,-1.119,-1.318,-0.999,0.503,-1.199,0.259,2.282,-0.409,0
3.14,3.457,-1.755,-1.213,-3.286,-1.119,-1.318,-0.999,0.503,-1.199,0.259,2.282,-0.409,1.809,1
3.457,-1.755,-1.213,-3.286,-1.119,-1.318,-0.999,0.503,-1.199,0.259,2.282,-0.409,1.809,0.276,1
